,Loaded_line,Destination,Material,CUST_THICKNESS,CUST_WIDTH,KS_GRADE01,ZINC01,Sector,Creation,CBE$
12773,GI,Local,GCCF,0.5,1250.0,Special Grade,100.0,Local Companies,Other,2330
12778,CR,Local,CRCF,1.066,1000.0,Normal Grade,0.0,Local Traders,EXW,1710
12782,PP,Export,POCF,0.5,1250.0,Normal Grade,100.0,Export Near,EXW,2650
12795,CR,Local,CRSF,0.5,923.0,Normal Grade,0.0,Local Companies,EXW,2090
12797,CR,Local,CRSF,0.5,1056.0,Normal Grade,0.0,Local Companies,Other,2490
12799,CR,Local,CRSF,0.5,1250.0,Normal Grade,0.0,Local Companies,Other,2490
12800,CR,Local,CRSF,0.5,980.0,Normal Grade,0.0,Local Companies,Other,2490
12801,CR,Local,CRSF,0.5,817.0,Normal Grade,0.0,Local Companies,EXW,2090
12811,CR,Export,CRCF,0.56,1000.0,Normal Grade,0.0,Export Near,Other,2510
12814,GI,Local,GCSF,0.6,764.7,Normal Grade,100.0,Local Companies,Other,2490
12817,CR,Local,CRNF,0.6,744.7,Normal Grade,0.0,Local Companies,Other,2430
12823,CR,Local,CRSF,0.6,689.0,Normal Grade,0.0,Local Companies,Other,2490
12827,PP,Local,POSF,0.6,1160.0,Normal Grade,120.0,Local Companies,EXW,2410
12828,PP,Local,POSF,0.6,756.5,Normal Grade,120.0,Local Companies,EXW,2210
12837,GI,Local,GCRF,0.78,495.0,Normal Grade,275.0,Local Companies,EXW,2430
12839,GI,Local,GCCF,0.7,1250.0,Normal Grade,275.0,Local Companies,Other,2030
12843,GI,Local,GCCF,1.1400000000000001,1250.0,Normal Grade,330.0,Local Companies,Other,2430
12848,GI,Local,GCCF,0.7,1250.0,Special Grade,100.0,Local Companies,EXW,1930
12849,GI,Export,GCCF,0.7,1000.0,Normal Grade,140.0,Export Near,Other,2510
12852,PP,Local,POCF,0.8400000000000001,1220.0,Normal Grade,180.0,Local Companies,EXW,1970
12860,GI,Local,GCCF,0.7,1200.0,Normal Grade,120.0,Local Traders,EXW,1630
12865,GI,Local,GCCF,0.7,1250.0,Normal Grade,120.0,Local Traders,EXW,1630
12887,GI,Local,GCRF,0.8,1100.0,Normal Grade,60.0,Local Companies,Other,2630
12900,CR,Local,CRNF,0.8,721.0,Special Grade,0.0,Local Companies,EXW,2210
12903,CR,Local,CRSF,0.8,1250.0,Special Grade,0.0,Local Companies,Other,2670
12904,CR,Local,CRSF,0.8,890.0,Special Grade,0.0,Local Companies,Other,2750
12911,GI,Export,GCCF,0.8,1250.0,Normal Grade,140.0,Export Near,EXW,2350
12920,GI,Local,GCNF,0.8,919.0,Normal Grade,100.0,Local Companies,EXW,1950
12923,CR,Export,CRCF,0.85,1225.0,Normal Grade,0.0,Export Far,Other,2790
12924,CR,Export,CRNF,0.85,925.0,Normal Grade,0.0,Export Far,Other,2910
12929,CR,Local,CRRF,0.9,480.0,Normal Grade,0.0,Local Companies,EXW,2230
12931,CR,Local,CRRF,0.9,578.0,Normal Grade,0.0,Local Companies,EXW,2230
12933,GI,Export,GCCF,0.9,484.0,Normal Grade,100.0,Export Near,Other,2510
12934,GI,Export,GCCF,0.92,1000.0,Normal Grade,100.0,Export Near,Other,2510
12941,GI,Local,GCCF,1.0,1250.0,Special Grade,80.0,Local Companies,EXW,2410
12949,GI,Local,GCCF,1.0,1250.0,Normal Grade,275.0,Local Companies,Other,2350
12960,CR,Local,CRRF,1.0,350.0,Normal Grade,0.0,Local Companies,EXW,2230
12965,CR,Local,CRSF,1.0,1000.0,Normal Grade,0.0,Local Traders,EXW,1970
12973,GI,Local,GCCF,1.0,1250.0,Normal Grade,330.0,Local Companies,EXW,2030
12982,GI,Export,GCCF,1.18,942.4,Normal Grade,100.0,Export Near,Other,2510
12985,GI,Local,GCCF,1.2,1250.0,Normal Grade,275.0,Local Companies,Other,2230
12995,GI,Local,GCSF,1.2,1250.0,Normal Grade,120.0,Local Companies,Other,2410
13001,GI,Local,GCCF,1.2,1250.0,Normal Grade,120.0,Local Traders,EXW,1630
13014,GI,Local,GCSF,1.2,1244.0,Normal Grade,60.0,Local Traders,EXW,1890
13023,GI,Export,GCCF,1.38,1250.0,Normal Grade,100.0,Export Near,Other,2310
13024,GI,Export,GCCF,1.4,1000.0,Normal Grade,140.0,Export Near,Other,2310
13026,GI,Export,GCCF,1.4,1250.0,Normal Grade,100.0,Export Near,EXW,2150
13031,CR,Export,CRCF,1.5,1000.0,Normal Grade,0.0,Export Near,Other,1990
13036,GI,Local,GCCF,1.5,1250.0,Special Grade,275.0,Local Companies,EXW,2010
13047,CR,Local,CRSF,1.066,1000.0,Normal Grade,0.0,Local Traders,EXW,1770
13049,CR,Local,CRSF,1.5,1013.0,Normal Grade,0.0,Local Traders,EXW,1770
13052,GI,Export,GCCF,1.5,1000.0,Normal Grade,140.0,Export Near,Other,2310
13055,GI,Local,GCCF,1.5,1200.0,Normal Grade,330.0,Local Companies,Other,2230
13062,GI,Local,GCCF,1.5,1250.0,Normal Grade,100.0,Local Traders,EXW,1430
13070,GI,Export,GCCF,1.88,1240.0,Normal Grade,100.0,Export Near,EXW,2150
13071,GI,Export,GCCF,1.9,762.0,Normal Grade,100.0,Export Near,Other,2310
13073,GI,Export,GHRF,1.08,300.0,Normal Grade,275.0,Export Far,Other,3110
13076,GI,Export,GCCF,1.95,1240.0,Normal Grade,100.0,Export Near,Other,2310
13083,CR,Local,CRCF,2.0,1000.0,Special Grade,0.0,Local Companies,EXW,1810
13085,CR,Export,CRCF,2.0,1000.0,Normal Grade,0.0,Export Near,EXW,2390
13095,GI,Local,GCCF,2.0,1250.0,Normal Grade,100.0,Local Companies,Other,2030
13096,GI,Local,GHRF,1.83,343.0,Special Grade,275.0,Local Companies,EXW,2410
13097,GI,Local,GHCF,2.0,1250.0,Normal Grade,60.0,Local Traders,EXW,1610
13101,GI,Local,GHSF,2.0,1000.0,Normal Grade,60.0,Local Companies,Other,2210
13103,GI,Local,GHRF,2.0,390.0,Special Grade,275.0,Local Companies,EXW,2410
13107,GI,Local,GHCF,2.0,1250.0,Normal Grade,100.0,Local Traders,EXW,1430
13112,GI,Local,GHRF,2.15,390.0,Special Grade,275.0,Local Companies,Other,2810
13129,Other,Local,FBCF,0.25,1000.0,Normal Grade,0.0,Local Companies,EXW,1970
13132,CR,Export,CRRF,0.9593472478002865,977.7763648584101,Special Grade,0.0,Export Near,Other,2970
13155,PP,Local,PONF,0.4,745.0,Normal Grade,80.0,Local Companies,Other,2490
13158,PP,Local,POSF,0.4,690.0,Normal Grade,80.0,Local Companies,Other,2630
13160,GI,Local,GCCF,0.4,918.6,Normal Grade,60.0,Local Companies,Other,2230
13161,GI,Local,GCCF,0.4,918.6,Normal Grade,80.0,Local Companies,Other,2230
13176,PP,Local,POSF,0.5,684.0,Normal Grade,120.0,Local Companies,Other,2810
13177,PP,Local,POSF,0.5,774.2,Normal Grade,120.0,Local Companies,Other,2630
13179,PP,Local,POSF,0.5,784.0,Normal Grade,120.0,Local Companies,Other,2630
13182,CR,Local,CRCF,0.5,1100.0,Normal Grade,0.0,Local Companies,Other,2310
13185,GI,Local,GCSF,0.5,1000.0,Normal Grade,100.0,Local Companies,Other,2490
13187,GI,Export,GCSF,0.5,1150.0,Normal Grade,120.0,Export Far,Other,3310
13188,CR,Local,CRCF,0.5,1250.0,Normal Grade,0.0,Local Companies,EXW,1830
13190,GI,Local,GCSF,1.1400000000000001,1250.0,Normal Grade,60.0,Local Companies,EXW,1890
13214,PP,Local,POCF,0.7,1250.0,Normal Grade,80.0,Local Companies,Other,2370
13216,PP,Local,POCF,0.7,1000.0,Normal Grade,80.0,Local Companies,Other,2370
13217,CR,Local,CRCF,0.7,1250.0,Normal Grade,0.0,Local Companies,Other,2310
13219,CR,Local,CRSF,0.9199999999999999,915.0,Special Grade,0.0,Local Companies,Other,2550
13223,CR,Local,CRNF,0.7,608.0,Normal Grade,0.0,Local Companies,EXW,2030
13229,PP,Local,POCF,0.8,1250.0,Special Grade,120.0,Local Companies,EXW,2150
13237,CR,Local,CRNF,0.9199999999999999,915.0,Normal Grade,0.0,Local Companies,Other,2230
13247,CR,Local,CRRF,1.0,500.0,Normal Grade,0.0,Local Companies,Other,2630
13252,GI,Export,GCSF,1.2,1220.0,Normal Grade,120.0,Export Far,EXW,3150
13265,GI,Local,GHSF,1.5,1250.0,Normal Grade,120.0,Local Companies,Other,2410
13266,GI,Local,GHSF,1.5,1250.0,Normal Grade,120.0,Local Companies,Other,2210
13268,CR,Local,CRCF,1.5,1200.0,Normal Grade,0.0,Local Companies,Other,2110
13272,GI,Local,GHSF,1.5,1200.0,Normal Grade,140.0,Local Companies,Other,2210
13276,CR,Local,CRNF,1.5,800.0,Normal Grade,0.0,Local Companies,EXW,1750
13277,CR,Local,CRNF,1.5,900.0,Normal Grade,0.0,Local Companies,Other,2150
13278,CR,Local,CRNF,1.78,900.0,Normal Grade,0.0,Local Companies,Other,2150
13279,CR,Local,CRCF,1.5,1100.0,Normal Grade,0.0,Local Companies,Other,2030
13285,CR,Export,CRSF,1.1400000000000001,1250.0,Normal Grade,0.0,Export Near,Other,2650
13287,GI,Local,GHSF,2.0,964.0,Normal Grade,120.0,Local Companies,Other,2210
13314,CR,Local,CRSF,0.4,704.0,Normal Grade,0.0,Local Companies,EXW,2090
13318,CR,Local,CRSF,0.4,341.0,Normal Grade,0.0,Local Companies,Other,2290
13320,CR,Local,CRSF,0.4,747.0,Normal Grade,0.0,Local Companies,Other,2490
13324,CR,Local,CRSF,0.4,1020.0,Normal Grade,0.0,Local Companies,Other,2490
13325,CR,Local,CRSF,0.4,324.0,Normal Grade,0.0,Local Companies,Other,2490
13327,CR,Local,CRSF,0.4,349.0,Normal Grade,0.0,Local Companies,Other,2490
13333,CR,Local,CRSF,0.4,735.0,Normal Grade,0.0,Local Companies,Other,2490
13336,CR,Local,CRSF,0.4,914.0,Normal Grade,0.0,Local Companies,Other,2490
13337,CR,Local,CRSF,0.4,922.0,Normal Grade,0.0,Local Companies,Other,2490
13341,CR,Local,CRCF,0.4,1200.0,Normal Grade,0.0,Local Companies,Other,2230
13342,CR,Local,CRCF,1.1400000000000001,1250.0,Normal Grade,0.0,Local Companies,Other,2030
13344,CR,Local,CRCF,0.4,1020.0,Normal Grade,0.0,Local Companies,EXW,1830
13350,GI,Export,GCCF,0.4,1219.0,Normal Grade,120.0,Export Far,Other,3050
13354,GI,Export,GCCF,0.48,1250.0,Normal Grade,100.0,Export Near,Other,2510
13355,Other,Export,FBCF,0.49,1252.0,Normal Grade,0.0,Export Near,Other,2450
13359,CR,Local,CRSF,0.5,1074.0,Normal Grade,0.0,Local Companies,EXW,2090
13362,CR,Local,CRSF,0.5,505.0,Normal Grade,0.0,Local Companies,Other,2290
13381,Other,Export,FBCF,0.55,1252.0,Normal Grade,0.0,Export Near,Other,2450
13389,CR,Local,CRSF,0.6,1160.0,Normal Grade,0.0,Local Companies,Other,2490
13394,CR,Export,CRCF,0.65,1225.0,Normal Grade,0.0,Export Near,Other,2590
13396,CR,Local,CRSF,0.7,897.0,Special Grade,0.0,Local Companies,Other,2550
13401,GI,Export,GCSF,0.7,1220.0,Normal Grade,120.0,Export Far,Other,3310
13403,CR,Export,CRCF,0.77,1000.0,Normal Grade,0.0,Export Near,Other,2590
13404,CR,Export,CRCF,0.77,1250.0,Normal Grade,0.0,Export Near,Other,2590
13439,GI,Export,GCSF,1.5,1200.0,Normal Grade,120.0,Export Far,Other,3110
13465,CR,Export,CRNF,0.4,960.0,Normal Grade,0.0,Export Near,Other,2710
13468,GI,Local,GCCF,0.4,1220.0,Normal Grade,60.0,Local Companies,Other,2230
13475,CR,Export,CRSF,1.5,1220.0,Normal Grade,0.0,Export Near,Other,2570
13479,CR,Local,CRSF,1.0,1050.0,Normal Grade,0.0,Local Companies,Other,2490
13488,GI,Export,GCSF,0.8400000000000001,1220.0,Normal Grade,120.0,Export Far,Other,3150
13499,CR,Local,CRSF,0.5,1074.0,Normal Grade,0.0,Local Companies,Other,2090
13501,CR,Export,CRCF,0.85,1000.0,Normal Grade,0.0,Export Near,Other,2510
13509,GI,Export,GCCF,0.284,914.0,Normal Grade,90.0,Export Far,FOB,2590
13510,CR,Local,CRCF,0.4,1000.0,Normal Grade,0.0,Local Companies,EXW,2030
13514,CR,Local,CRNF,0.5,747.0,Normal Grade,0.0,Local Companies,Other,2430
13515,CR,Export,CRSF,1.0,1220.0,Normal Grade,0.0,Export Near,Other,2770
13517,CR,Local,CRSF,1.0,1000.0,Normal Grade,0.0,Local Companies,Other,2490
13523,CR,Local,CRSF,0.4,704.0,Normal Grade,0.0,Local Companies,Other,2090
13531,GI,Export,GCCF,1.0,1200.0,Normal Grade,120.0,Export Far,Other,3050
13542,PP,Export,POCF,0.304,1000.0,Normal Grade,120.0,Export Far,Other,3050
13549,GI,Local,GCRF,1.75,345.0,Special Grade,275.0,Local Companies,EXW,2410
13570,PP,Local,PONF,0.6,600.0,Normal Grade,90.0,Local Companies,Other,2410
13574,CR,Export,CRCF,0.95,1250.0,Normal Grade,0.0,Export Near,Other,2510
13586,CR,Local,CRSF,0.5,418.0,Normal Grade,0.0,Local Companies,Other,2570
13591,GI,Export,GCCF,1.7,1250.0,Normal Grade,100.0,Export Near,Other,2230
13593,CR,Local,CRSF,0.5,330.0,Normal Grade,0.0,Local Companies,Other,2570
13597,GI,Export,GCCF,1.1400000000000001,1250.0,Normal Grade,100.0,Export Near,EXW,2070
13618,CR,Export,CRSF,1.2,1220.0,Normal Grade,0.0,Export Near,Other,2770
13619,PP,Local,POGF,0.5,1250.0,Normal Grade,180.0,Local Traders,Other,2570
13620,PP,Local,POSF,0.5,1150.0,Normal Grade,120.0,Local Companies,Other,2630
13621,CR,Local,CRRF,0.9,578.0,Normal Grade,0.0,Local Companies,Other,2230
13629,GI,Local,GCNF,0.8,676.0,Normal Grade,220.0,Local Companies,Other,2270
13633,GI,Local,GCCF,0.6,1250.0,Special Grade,100.0,Local Companies,Other,2330
13634,CR,Local,CRRF,1.5,384.0,Normal Grade,0.0,Local Companies,EXW,2510
13642,GI,Local,GHSF,1.066,1000.0,Normal Grade,275.0,Local Companies,Other,2490
13662,GI,Export,GCSF,1.2,1220.0,Normal Grade,120.0,Export Far,Other,3110
13671,CR,Local,CRSF,0.4,472.0,Normal Grade,0.0,Local Companies,EXW,2490
13685,CR,Local,CRSF,0.5,752.0,Normal Grade,0.0,Local Companies,Other,2090
13699,CR,Local,CRSF,0.5,1175.0,Normal Grade,0.0,Local Companies,EXW,2170
13701,CR,Local,CRRF,1.8,366.0,Normal Grade,0.0,Local Companies,Other,2510
13706,GI,Export,GCNF,0.4,910.0,Normal Grade,140.0,Export Near,Other,2630
13713,GI,Local,GPNF,0.3,655.0,Normal Grade,60.0,Local Companies,Other,2550
13720,CR,Local,CRRF,0.8,441.0,Normal Grade,0.0,Local Companies,EXW,2310
13723,GI,Local,GCCF,0.7,1219.0,Special Grade,180.0,Local Companies,Other,2410
13732,CR,Local,CRCF,0.9593472478002865,977.7763648584101,Normal Grade,0.0,Local Companies,Other,2030
13748,Other,Local,HFRF,1.8,995.1,Special Grade,0.0,Local Companies,Other,2550
13754,CR,Local,CRNF,0.94,915.0,Normal Grade,0.0,Local Companies,Other,2230
13762,PP,Local,POCF,0.6,1250.0,Normal Grade,275.0,Local Companies,EXW,2170
13767,CR,Export,CRCF,1.4,1250.0,Normal Grade,0.0,Export Near,Other,2310
13772,CR,Local,CRRF,1.2,500.0,Normal Grade,0.0,Local Companies,Other,2630
13775,GI,Export,GCCF,0.386,1219.2,Special Grade,120.0,Export Far,EXW,3070
13776,CR,Local,CRNF,1.0,600.0,Normal Grade,0.0,Local Companies,Other,1950
13782,GI,Local,GCCF,0.7,1250.0,Normal Grade,275.0,Local Companies,EXW,2430
13796,PP,Local,POCF,0.6,1070.0,Normal Grade,275.0,Local Companies,EXW,2170
13797,CR,Local,CRSF,0.64,324.0,Normal Grade,0.0,Local Companies,Other,2490
13805,CR,Local,CRRF,1.5,385.0,Normal Grade,0.0,Local Companies,Other,2430
13814,PP,Local,PORF,0.9593472478002865,977.7763648584101,Normal Grade,100.0,Local Companies,Other,2370
13825,PP,Local,PORF,0.9200000000000002,540.0,Normal Grade,100.0,Local Companies,Other,2770
13826,CR,Export,CRSF,0.8,920.0,Normal Grade,0.0,Export Far,EXW,3390
